datekey,settle,volume,openinterest,ticker
2014-11-20,80.19,0.0,0.0,CLK2020
2014-11-21,81.06,0.0,0.0,CLK2020
2014-11-24,80.77,0.0,0.0,CLK2020
2014-11-25,80.36,0.0,0.0,CLK2020
2014-11-26,80.84,0.0,0.0,CLK2020
2014-11-28,77.72,0.0,0.0,CLK2020
2014-12-01,79.5,0.0,0.0,CLK2020
2014-12-02,78.27,0.0,0.0,CLK2020
2014-12-03,78.17,0.0,0.0,CLK2020
2014-12-04,76.35,0.0,0.0,CLK2020
2014-12-05,74.78,0.0,0.0,CLK2020
2014-12-08,72.6,0.0,0.0,CLK2020
2014-12-09,72.74,0.0,0.0,CLK2020
2014-12-10,71.3,0.0,0.0,CLK2020
2014-12-11,71.15,0.0,0.0,CLK2020
2014-12-12,69.19,0.0,0.0,CLK2020
2014-12-15,67.7,0.0,0.0,CLK2020
2014-12-16,66.59,0.0,0.0,CLK2020
2014-12-17,66.99,0.0,0.0,CLK2020
2014-12-18,67.67,0.0,0.0,CLK2020
2014-12-19,70.54,0.0,0.0,CLK2020
2014-12-22,70.37,0.0,0.0,CLK2020
2014-12-23,71.63,0.0,0.0,CLK2020
2014-12-24,71.84,0.0,0.0,CLK2020
2014-12-26,71.47,0.0,0.0,CLK2020
2014-12-29,70.69,0.0,0.0,CLK2020
2014-12-30,70.61,0.0,0.0,CLK2020
2014-12-31,70.52,0.0,0.0,CLK2020
2015-01-02,70.02,0.0,0.0,CLK2020
2015-01-05,68.69,0.0,0.0,CLK2020
2015-01-06,66.93,0.0,0.0,CLK2020
2015-01-07,66.32,0.0,0.0,CLK2020
2015-01-08,66.34,0.0,0.0,CLK2020
2015-01-09,67.6,0.0,0.0,CLK2020
2015-01-12,66.9,0.0,0.0,CLK2020
2015-01-13,67.63,0.0,0.0,CLK2020
2015-01-14,68.12,0.0,0.0,CLK2020
2015-01-15,65.85,0.0,0.0,CLK2020
2015-01-16,67.06,0.0,0.0,CLK2020
2015-01-20,65.62,0.0,0.0,CLK2020
2015-01-21,66.07,0.0,0.0,CLK2020
2015-01-22,65.47,0.0,0.0,CLK2020
2015-01-23,65.9,0.0,0.0,CLK2020
2015-01-26,65.65,0.0,0.0,CLK2020
2015-01-27,66.7,0.0,0.0,CLK2020
2015-01-28,66.06,0.0,0.0,CLK2020
2015-01-29,67.12,0.0,0.0,CLK2020
2015-01-30,69.37,0.0,0.0,CLK2020
2015-02-02,69.91,0.0,0.0,CLK2020
2015-02-03,71.25,0.0,0.0,CLK2020
2015-02-04,69.58,0.0,0.0,CLK2020
2015-02-05,70.35,0.0,0.0,CLK2020
2015-02-06,69.65,0.0,0.0,CLK2020
2015-02-09,70.07,0.0,0.0,CLK2020
2015-02-10,69.44,0.0,0.0,CLK2020
2015-02-11,69.7,0.0,0.0,CLK2020
2015-02-12,70.82,0.0,0.0,CLK2020
2015-02-13,69.88,0.0,0.0,CLK2020
2015-02-17,69.52,0.0,0.0,CLK2020
2015-02-18,69.25,0.0,0.0,CLK2020
2015-02-19,68.68,0.0,0.0,CLK2020
2015-02-20,69.77,0.0,0.0,CLK2020
2015-02-23,69.6,0.0,0.0,CLK2020
2015-02-24,70.12,0.0,0.0,CLK2020
2015-02-25,70.74,0.0,0.0,CLK2020
2015-02-26,70.42,0.0,0.0,CLK2020
2015-02-27,70.38,0.0,0.0,CLK2020
2015-03-02,69.97,0.0,0.0,CLK2020
2015-03-03,70.5,0.0,0.0,CLK2020
2015-03-04,69.28,0.0,0.0,CLK2020
2015-03-05,68.78,0.0,0.0,CLK2020
2015-03-06,68.06,0.0,0.0,CLK2020
2015-03-09,67.54,0.0,0.0,CLK2020
2015-03-10,67.02,0.0,0.0,CLK2020
2015-03-11,67.22,0.0,0.0,CLK2020
2015-03-12,66.7,0.0,0.0,CLK2020
2015-03-13,66.2,0.0,0.0,CLK2020
2015-03-16,66.67,0.0,0.0,CLK2020
2015-03-17,65.98,0.0,0.0,CLK2020
2015-03-18,67.32,0.0,0.0,CLK2020
2015-03-19,66.41,0.0,0.0,CLK2020
2015-03-20,66.94,0.0,0.0,CLK2020
2015-03-23,67.12,0.0,0.0,CLK2020
2015-03-24,66.45,0.0,0.0,CLK2020
2015-03-25,66.44,0.0,0.0,CLK2020
2015-03-26,66.3,0.0,0.0,CLK2020
2015-03-27,64.87,0.0,0.0,CLK2020
2015-03-30,65.44,0.0,0.0,CLK2020
2015-03-31,64.93,0.0,0.0,CLK2020
2015-04-01,65.64,0.0,0.0,CLK2020
2015-04-02,64.97,0.0,0.0,CLK2020
2015-04-06,65.25,0.0,0.0,CLK2020
2015-04-07,64.49,0.0,0.0,CLK2020
2015-04-08,63.39,0.0,0.0,CLK2020
2015-04-09,64.5,0.0,0.0,CLK2020
2015-04-10,64.97,0.0,0.0,CLK2020
2015-04-13,64.64,0.0,0.0,CLK2020
2015-04-14,64.78,0.0,0.0,CLK2020
2015-04-15,66.07,0.0,0.0,CLK2020
2015-04-16,66.34,0.0,0.0,CLK2020
2015-04-17,65.89,0.0,0.0,CLK2020
2015-04-20,66.61,0.0,0.0,CLK2020
2015-04-21,66.91,0.0,0.0,CLK2020
2015-04-22,67.32,0.0,0.0,CLK2020
2015-04-23,67.97,0.0,0.0,CLK2020
2015-04-24,66.81,0.0,0.0,CLK2020
2015-04-27,66.77,0.0,0.0,CLK2020
2015-04-28,66.84,0.0,0.0,CLK2020
2015-04-29,66.87,0.0,0.0,CLK2020
2015-04-30,67.02,0.0,0.0,CLK2020
2015-05-01,66.88,0.0,0.0,CLK2020
2015-05-04,67.15,0.0,0.0,CLK2020
2015-05-05,67.72,0.0,0.0,CLK2020
2015-05-06,68.08,0.0,0.0,CLK2020
2015-05-07,67.82,0.0,0.0,CLK2020
2015-05-08,68.27,0.0,0.0,CLK2020
2015-05-11,68.34,0.0,0.0,CLK2020
2015-05-12,68.19,0.0,0.0,CLK2020
2015-05-13,68.14,0.0,0.0,CLK2020
2015-05-14,68.61,0.0,0.0,CLK2020
2015-05-15,68.6,0.0,0.0,CLK2020
2015-05-18,68.22,0.0,0.0,CLK2020
2015-05-19,67.6,0.0,0.0,CLK2020
2015-05-20,68.0,0.0,0.0,CLK2020
2015-05-21,67.99,0.0,0.0,CLK2020
2015-05-22,67.47,0.0,0.0,CLK2020
2015-05-26,67.67,0.0,0.0,CLK2020
2015-05-27,67.3,0.0,0.0,CLK2020
2015-05-28,67.26,0.0,0.0,CLK2020
2015-05-29,67.52,0.0,0.0,CLK2020
2015-06-01,67.08,0.0,0.0,CLK2020
2015-06-02,68.2,0.0,0.0,CLK2020
2015-06-03,67.78,0.0,0.0,CLK2020
2015-06-04,67.23,0.0,0.0,CLK2020
2015-06-05,68.55,0.0,0.0,CLK2020
2015-06-08,67.92,0.0,0.0,CLK2020
2015-06-09,68.4,0.0,0.0,CLK2020
2015-06-10,68.78,0.0,0.0,CLK2020
2015-06-11,68.35,0.0,0.0,CLK2020
2015-06-12,67.46,0.0,0.0,CLK2020
2015-06-15,67.92,0.0,0.0,CLK2020
2015-06-16,68.23,0.0,0.0,CLK2020
2015-06-17,68.22,0.0,0.0,CLK2020
2015-06-18,68.5,0.0,0.0,CLK2020
2015-06-19,67.79,0.0,0.0,CLK2020
2015-06-22,68.6,0.0,0.0,CLK2020
2015-06-23,68.05,0.0,0.0,CLK2020
2015-06-24,67.61,0.0,0.0,CLK2020
2015-06-25,67.43,0.0,0.0,CLK2020
2015-06-26,67.61,0.0,0.0,CLK2020
2015-06-29,67.12,0.0,0.0,CLK2020
2015-06-30,67.25,0.0,0.0,CLK2020
2015-07-01,66.85,0.0,0.0,CLK2020
2015-07-02,66.76,0.0,0.0,CLK2020
2015-07-06,64.03,0.0,0.0,CLK2020
2015-07-07,64.18,0.0,0.0,CLK2020
2015-07-08,64.44,0.0,0.0,CLK2020
2015-07-09,65.4,0.0,0.0,CLK2020
2015-07-10,66.3,0.0,0.0,CLK2020
2015-07-13,66.56,0.0,0.0,CLK2020
2015-07-14,66.45,0.0,0.0,CLK2020
2015-07-15,65.36,0.0,0.0,CLK2020
2015-07-16,64.82,0.0,0.0,CLK2020
2015-07-17,64.47,0.0,0.0,CLK2020
2015-07-20,64.37,0.0,0.0,CLK2020
2015-07-21,65.09,0.0,0.0,CLK2020
2015-07-22,64.11,0.0,0.0,CLK2020
2015-07-23,63.36,0.0,0.0,CLK2020
2015-07-24,62.58,0.0,0.0,CLK2020
2015-07-27,62.54,0.0,0.0,CLK2020
2015-07-28,62.66,0.0,0.0,CLK2020
2015-07-29,62.62,0.0,0.0,CLK2020
2015-07-30,62.6,0.0,0.0,CLK2020
2015-07-31,62.2,0.0,0.0,CLK2020
2015-08-03,61.15,0.0,0.0,CLK2020
2015-08-04,61.18,0.0,0.0,CLK2020
2015-08-05,60.94,0.0,0.0,CLK2020
2015-08-06,61.44,0.0,0.0,CLK2020
2015-08-07,60.8,0.0,0.0,CLK2020
2015-08-10,61.76,0.0,0.0,CLK2020
2015-08-11,61.74,0.0,0.0,CLK2020
2015-08-12,62.29,0.0,0.0,CLK2020
2015-08-13,62.53,0.0,0.0,CLK2020
2015-08-14,63.1,0.0,0.0,CLK2020
2015-08-17,62.64,0.0,0.0,CLK2020
2015-08-18,62.22,0.0,0.0,CLK2020
2015-08-19,60.78,0.0,0.0,CLK2020
2015-08-20,59.33,0.0,0.0,CLK2020
2015-08-21,57.25,0.0,0.0,CLK2020
2015-08-24,55.87,0.0,0.0,CLK2020
2015-08-25,56.67,0.0,0.0,CLK2020
2015-08-26,57.2,0.0,0.0,CLK2020
2015-08-27,60.37,0.0,0.0,CLK2020
2015-08-28,61.63,0.0,0.0,CLK2020
2015-08-31,63.41,0.0,0.0,CLK2020
2015-09-01,59.67,0.0,0.0,CLK2020
2015-09-02,60.65,0.0,0.0,CLK2020
2015-09-03,60.46,0.0,0.0,CLK2020
2015-09-04,59.41,0.0,0.0,CLK2020
2015-09-08,60.08,0.0,0.0,CLK2020
2015-09-09,59.06,0.0,0.0,CLK2020
2015-09-10,60.13,0.0,0.0,CLK2020
2015-09-11,59.63,0.0,0.0,CLK2020
2015-09-14,58.39,0.0,0.0,CLK2020
2015-09-15,58.87,0.0,0.0,CLK2020
2015-09-16,59.68,0.0,0.0,CLK2020
2015-09-17,59.29,0.0,0.0,CLK2020
2015-09-18,58.08,0.0,0.0,CLK2020
2015-09-21,59.41,0.0,0.0,CLK2020
2015-09-22,59.58,0.0,0.0,CLK2020
2015-09-23,58.22,0.0,0.0,CLK2020
2015-09-24,58.79,0.0,0.0,CLK2020
2015-09-25,59.1,0.0,0.0,CLK2020
2015-09-28,57.84,0.0,0.0,CLK2020
2015-09-29,57.83,0.0,0.0,CLK2020
2015-09-30,58.0,0.0,0.0,CLK2020
2015-10-01,56.83,0.0,0.0,CLK2020
2015-10-02,56.89,0.0,0.0,CLK2020
2015-10-05,57.77,0.0,0.0,CLK2020
2015-10-06,59.08,0.0,0.0,CLK2020
2015-10-07,58.8,0.0,0.0,CLK2020
2015-10-08,58.31,0.0,0.0,CLK2020
2015-10-09,59.06,0.0,0.0,CLK2020
2015-10-12,58.26,0.0,0.0,CLK2020
2015-10-13,58.48,0.0,0.0,CLK2020
2015-10-14,58.87,0.0,0.0,CLK2020
2015-10-15,59.02,0.0,0.0,CLK2020
2015-10-16,59.33,0.0,0.0,CLK2020
2015-10-19,58.43,0.0,0.0,CLK2020
2015-10-20,58.81,0.0,0.0,CLK2020
2015-10-21,58.43,0.0,0.0,CLK2020
2015-10-22,58.98,0.0,0.0,CLK2020
2015-10-23,58.32,0.0,0.0,CLK2020
2015-10-26,58.36,0.0,0.0,CLK2020
2015-10-27,57.65,0.0,0.0,CLK2020
2015-10-28,59.0,0.0,0.0,CLK2020
2015-10-29,58.63,0.0,0.0,CLK2020
2015-10-30,58.96,0.0,0.0,CLK2020
2015-11-02,58.69,0.0,0.0,CLK2020
2015-11-03,59.38,0.0,0.0,CLK2020
2015-11-04,58.3,0.0,0.0,CLK2020
2015-11-05,58.05,0.0,0.0,CLK2020
2015-11-06,57.72,0.0,0.0,CLK2020
2015-11-09,57.75,0.0,0.0,CLK2020
2015-11-10,58.08,0.0,0.0,CLK2020
2015-11-11,57.21,0.0,0.0,CLK2020
2015-11-12,57.09,0.0,0.0,CLK2020
2015-11-13,56.96,0.0,0.0,CLK2020
2015-11-16,57.07,0.0,0.0,CLK2020
2015-11-17,56.14,0.0,0.0,CLK2020
2015-11-18,56.15,0.0,0.0,CLK2020
2015-11-19,55.81,0.0,0.0,CLK2020
2015-11-20,55.87,0.0,0.0,CLK2020
2015-11-23,56.16,0.0,0.0,CLK2020
