"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25","NO2"
"01/01/2019","45","PM2.5","MASPETH LIBRARY","36-081-0120","AQS","6","30","0",".","45","38"
"01/02/2019","64","PM2.5","PS 19","36-061-0128","AQS","7","29","6",".","64","32"
"01/03/2019","54","PM2.5","PS 19","36-061-0128","AQS","6","26","3","11","54","37"
"01/04/2019","60","PM2.5","Elizabeth Lab","34-039-0004","AQS","9","20","6",".","60","34"
"01/05/2019","50","PM2.5","DIVISION STREET","36-061-0134","AQS","9","26","33",".","50","31"
"01/06/2019","51","PM2.5","DIVISION STREET","36-061-0134","AQS","7","33","1","6","51","23"
"01/07/2019","44","NO2","Newark Firehouse","34-013-0003","AQS","7","33","1",".","36","44"
"01/08/2019","75","PM2.5","Fort Lee Near Road","34-003-0010","AQS","14","29","4",".","75","67"
"01/09/2019","38","PM2.5","PS 314","36-047-0052","AQS","9","27","1","8","38","33"
"01/10/2019","42","PM2.5","Intermediate School 143","36-061-0115","AQS","6","33","1",".","42","19"
"01/11/2019","45","PM2.5","IS 74","36-005-0112","AQS","6","38","3",".","45","45"
"01/12/2019","43","PM2.5","HOLTSVILLE","36-103-0009","AQS","6","35","3","6","43","33"
"01/13/2019","42","PM2.5","PS 19","36-061-0128","AQS","6","35","1",".","42","23"
"01/14/2019","52","NO2","Elizabeth Lab","34-039-0004","AQS","8","33","4",".","42","52"
"01/15/2019","63","NO2","Newark Firehouse","34-013-0003","AQS","13","30","4","29","59","63"
"01/16/2019","67","PM2.5","Jersey City Firehouse","34-017-1003","AQS","10","34","7",".","67","45"
"01/17/2019","44","PM2.5","PS 19","36-061-0128","AQS","8","34","4",".","44","42"
"01/18/2019","94","NO2","Fort Lee Near Road","34-003-0010","AQS","10","31","3","19","71","94"
"01/19/2019","56","PM2.5","Jersey City Firehouse","34-017-1003","AQS","7","34","6",".","56","34"
"01/20/2019","37","PM2.5","PS 19","36-061-0128","AQS","7","34","9",".","37","36"
"01/21/2019","50","PM2.5","Intermediate School 143","36-061-0115","AQS","6","37","4","12","50","26"
"01/22/2019","54","NO2","Fort Lee Near Road","34-003-0010","AQS","8","36","6",".","52","54"
"01/23/2019","54","NO2","Newark Firehouse","34-013-0003","AQS","11","37","6",".","49","54"
"01/24/2019","49","NO2","Newark Firehouse","34-013-0003","AQS","14","38","3","6","33","49"
"01/25/2019","46","PM2.5","Intermediate School 143","36-061-0115","AQS","5","36","1",".","46","42"
"01/26/2019","48","PM2.5","HOLTSVILLE","36-103-0009","AQS","8","35","3",".","48","41"
"01/27/2019","51","PM2.5","Flemington","34-019-0001","AQS","16","41","3","15","51","50"
"01/28/2019","54","PM2.5","PS 19","36-061-0128","AQS","8","36","1",".","54","42"
"01/29/2019","69","NO2","Fort Lee Near Road","34-003-0010","AQS","17","35","6",".","60","69"
"01/30/2019","54","PM2.5","Intermediate School 143","36-061-0115","AQS","9","37","7","13","54","32"
"01/31/2019","49","PM2.5","Intermediate School 143","36-061-0115","AQS","10","33","6",".","49","45"
"02/01/2019","53","NO2","Fort Lee Near Road","34-003-0010","AQS","11","35","6",".","51","53"
"02/02/2019","80","PM2.5","Flemington","34-019-0001","AQS","10","32","6","31","80","49"
"02/03/2019","92","PM2.5","Fort Lee Near Road","34-003-0010","AQS","13","41","6",".","92","51"
"02/04/2019","83","PM2.5","IS 52","36-005-0110","AQS","16","38","10",".","83","65"
"02/05/2019","81","PM2.5","Jersey City Firehouse","34-017-1003","AQS","18","36","4",".","81","68"
"02/06/2019","80","NO2","Fort Lee Near Road","34-003-0010","AQS","7","28","3",".","42","80"
"02/07/2019","51","PM2.5","Elizabeth Lab","34-039-0004","AQS","7","25","1",".","51","41"
"02/08/2019","43","PM2.5","Fort Lee Near Road","34-003-0010","AQS","9","35","4","9","43","37"
"02/09/2019","37","Ozone","MILLBROOK","36-027-0007","AQS","5","37","3",".","35","15"
"02/10/2019","35","Ozone","MILLBROOK","36-027-0007","AQS","6","35","3",".","30","30"
"02/11/2019","58","PM2.5","Rutgers University","34-023-0011","AQS","10","35","3","18","58","46"
"02/12/2019","63","NO2","Fort Lee Near Road","34-003-0010","AQS","8","40","14",".","42","63"
"02/13/2019","42","PM2.5","Intermediate School 143","36-061-0115","AQS","9","38","1",".","42","41"
"02/14/2019","51","NO2","Newark Firehouse","34-013-0003","AQS","8","44","3","15","50","51"
"02/15/2019","68","NO2","Fort Lee Near Road","34-003-0010","AQS","10","43","3",".","63","68"
"02/16/2019","39","PM2.5","PS 19","36-061-0128","AQS","8","38","3",".","39","19"
"02/17/2019","40","Ozone","MILLBROOK","36-027-0007","AQS","8","40","1",".","30","27"
"02/18/2019","42","NO2","Bayonne","34-017-0006","AQS","10","41","1",".","41","42"
"02/19/2019","42","Ozone","MILLBROOK","36-027-0007","AQS","7","42","4",".","40","35"
"02/20/2019","91","NO2","Fort Lee Near Road","34-003-0010","AQS","7","38","1","14","57","91"
"02/21/2019","60","NO2","Fort Lee Near Road","34-003-0010","AQS","7","42","3",".","44","60"
"02/22/2019","52","PM2.5","Jersey City Firehouse","34-017-1003","AQS","7","46","1",".","52","37"
"02/23/2019","51","PM2.5","Paterson","34-031-0005","AQS","8","41","1","11","51","37"
"02/24/2019","47","PM2.5","Fort Lee Near Road","34-003-0010","AQS","9","43","0",".","47","39"
"02/25/2019","45","PM2.5","Intermediate School 143","36-061-0115","AQS","3","43","1",".","45","17"
"02/26/2019","42","NO2","Fort Lee Near Road","34-003-0010","AQS","3","41","1","9","38","42"
"02/27/2019","103","NO2","Fort Lee Near Road","34-003-0010","AQS","9","39","1",".","30","103"
"02/28/2019","54","NO2","Fort Lee Near Road","34-003-0010","AQS","8","41","3",".","53","54"
"03/01/2019","94","NO2","Fort Lee Near Road","34-003-0010","AQS","8","41","1","15","66","94"
"03/02/2019","52","PM2.5","Elizabeth Lab","34-039-0004","AQS","8","43","1",".","52","35"
"03/03/2019","60","PM2.5","Elizabeth Lab","34-039-0004","AQS","8","47","1",".","60","58"
"03/04/2019","47","Ozone","Rutgers University","34-023-0011","AQS","11","47","4","10","38","42"
"03/05/2019","51","PM2.5","Jersey City Firehouse","34-017-1003","AQS","7","42","3",".","51","42"
"03/06/2019","49","PM2.5","Elizabeth Lab","34-039-0004","AQS","8","43","1",".","49","31"
"03/07/2019","56","PM2.5","Rahway","34-039-2003","AQS","8","44","3","17","56","44"
"03/08/2019","71","NO2","Elizabeth Lab","34-039-0004","AQS","16","46","4",".","66","71"
"03/09/2019","81","PM2.5","Jersey City Firehouse","34-017-1003","AQS","8","58","6",".","81","49"
