"Date","2020 AQI Value","Main Pollutant","Site Name","Site ID","Source","20-year High (1980-2019)","20-year Low (1980-2019)","5-year Median (2015-2019)"
"03/05/2020","34","","Elizabeth Lab","34-039-0004","AirNow","105","29","48"
"03/06/2020","46","","Flemington","34-019-0001","AirNow","113","25","49"
"03/07/2020","23","","Rutgers University","34-023-0011","AirNow","100","23","66"
"03/08/2020","29","","Newark Firehouse","34-013-0003","AirNow","111","34","66"
"03/09/2020","50","","Queens College Near Road","36-081-0125","AirNow","115","26","56"
"03/10/2020","47","","Fort Lee Near Road","34-003-0010","AirNow","98","23","59"
"03/11/2020","30","","Elizabeth Lab","34-039-0004","AirNow","96","27","33"
"03/12/2020","52","","Elizabeth Lab","34-039-0004","AirNow","103","29","36"
"03/13/2020","46","","Fort Lee Near Road","34-003-0010","AirNow","116","28","46"
"03/14/2020","20","","Queens College Near Road","36-081-0125","AirNow","123","25","51"
"03/15/2020","23","","Rutgers University","34-023-0011","AirNow","120","31","42"
"03/16/2020","25","","Jersey City Firehouse","34-017-1003","AirNow","144","27","41"
"03/17/2020","39","","Fort Lee Near Road","34-003-0010","AirNow","141","27","36"
"03/18/2020","33","","Fort Lee Near Road","34-003-0010","AirNow","96","26","33"
"03/19/2020","40","","Elizabeth Lab","34-039-0004","AirNow","83","24","33"
"03/20/2020","61","","Fort Lee Near Road","34-003-0010","AirNow","98","28","52"
"03/21/2020","28","","Elizabeth Lab","34-039-0004","AirNow","81","28","53"
"03/22/2020","28","","Flemington","34-019-0001","AirNow","84","23","39"
"03/23/2020","21","","Elizabeth Lab","34-039-0004","AirNow","95","26","38"
"03/24/2020","25","","Fort Lee Near Road","34-003-0010","AirNow","72","24","41"
"03/25/2020","32","","Elizabeth Lab","34-039-0004","AirNow","87","25","66"
"03/26/2020","34","","Jersey City Firehouse","34-017-1003","AirNow","104","27","57"
"03/27/2020","30","","Elizabeth Lab","34-039-0004","AirNow","74","27","40"
"03/28/2020","39","","Elizabeth Lab","34-039-0004","AirNow","83","30","56"
"03/29/2020","23","","Rutgers University","34-023-0011","AirNow","87","20","27"
"03/30/2020","43","","Newark Firehouse","34-013-0003","AirNow","99","26","36"
"03/31/2020","23","","Jersey City Firehouse","34-017-1003","AirNow","100","27","30"
"04/01/2020","27","","Newark Firehouse","34-013-0003","AirNow","89","22","31"
"04/02/2020","13","","Rutgers University","34-023-0011","AirNow","98","20","34"
"04/03/2020","13","","Elizabeth Lab","34-039-0004","AirNow","124","25","55"
"04/04/2020","19","","Newark Firehouse","34-013-0003","AirNow","78","28","50"
"04/05/2020","52","","Jersey City Firehouse","34-017-1003","AirNow","73","16","38"
"04/06/2020","35","","Newark Firehouse","34-013-0003","AirNow","101","30","53"
"04/07/2020","35","","Flemington","34-019-0001","AirNow","108","26","44"
"04/08/2020","46","","Elizabeth Lab","34-039-0004","AirNow","103","21","35"
"04/09/2020","31","","Elizabeth Lab","34-039-0004","AirNow","112","28","41"
"04/10/2020","17","","Elizabeth Lab","34-039-0004","AirNow","106","35","55"
"04/11/2020","28","","Rutgers University","34-023-0011","AirNow","80","27","55"
"04/12/2020","44","","Jersey City Firehouse","34-017-1003","AirNow","93","23","51"
"04/13/2020","28","","Queens College Near Road","36-081-0125","AirNow","66","23","53"
"04/14/2020","18","","Elizabeth Lab","34-039-0004","AirNow","93","25","46"
"04/15/2020","28","","Flemington","34-019-0001","AirNow","94","22","42"
"04/16/2020","30","","Elizabeth Lab","34-039-0004","AirNow","85","18","36"
"04/17/2020","35","","Newark Firehouse","34-013-0003","AirNow","95","24","31"
